"week","year","week_year","y"
5,2022,"5_2022",0
6,2022,"6_2022",38.5714285714286
7,2022,"7_2022",98
8,2022,"8_2022",54
9,2022,"9_2022",22.2857142857143
10,2022,"10_2022",15.1428571428571
11,2022,"11_2022",7
12,2022,"12_2022",13.7142857142857
13,2022,"13_2022",8.57142857142857
14,2022,"14_2022",0.142857142857143
15,2022,"15_2022",0.571428571428571
16,2022,"16_2022",0.714285714285714
17,2022,"17_2022",0.142857142857143
18,2022,"18_2022",0.285714285714286
19,2022,"19_2022",0
20,2022,"20_2022",0.285714285714286
21,2022,"21_2022",0.142857142857143
22,2022,"22_2022",0
23,2022,"23_2022",0
24,2022,"24_2022",0
25,2022,"25_2022",0
26,2022,"26_2022",0
27,2022,"27_2022",0
28,2022,"28_2022",0
29,2022,"29_2022",0
30,2022,"30_2022",0
31,2022,"31_2022",0
32,2022,"32_2022",0
33,2022,"33_2022",0
34,2022,"34_2022",0
35,2022,"35_2022",0
36,2022,"36_2022",0
37,2022,"37_2022",0
38,2022,"38_2022",0
39,2022,"39_2022",0
40,2022,"40_2022",0
41,2022,"41_2022",0
42,2022,"42_2022",0
43,2022,"43_2022",0
44,2022,"44_2022",0
45,2022,"45_2022",0
46,2022,"46_2022",0
47,2022,"47_2022",0
48,2022,"48_2022",0
49,2022,"49_2022",0
50,2022,"50_2022",0
51,2022,"51_2022",0
52,2022,"52_2022",0
53,2022,"53_2022",0
1,2023,"1_2023",0
2,2023,"2_2023",0
3,2023,"3_2023",0
4,2023,"4_2023",0
5,2023,"5_2023",0
6,2023,"6_2023",0.571428571428571
7,2023,"7_2023",1.42857142857143
8,2023,"8_2023",22.8571428571429
9,2023,"9_2023",6.85714285714286
10,2023,"10_2023",7.71428571428571
11,2023,"11_2023",6.28571428571429
12,2023,"12_2023",3.14285714285714
13,2023,"13_2023",0.714285714285714
14,2023,"14_2023",0.571428571428571
15,2023,"15_2023",0.857142857142857
16,2023,"16_2023",0.142857142857143
17,2023,"17_2023",0
18,2023,"18_2023",0
19,2023,"19_2023",0
20,2023,"20_2023",0
21,2023,"21_2023",0
22,2023,"22_2023",0
23,2023,"23_2023",0
24,2023,"24_2023",0
25,2023,"25_2023",0
26,2023,"26_2023",0
27,2023,"27_2023",0
28,2023,"28_2023",0
29,2023,"29_2023",0
30,2023,"30_2023",0
31,2023,"31_2023",0
32,2023,"32_2023",0
33,2023,"33_2023",0
34,2023,"34_2023",0
35,2023,"35_2023",0
36,2023,"36_2023",0
37,2023,"37_2023",0
38,2023,"38_2023",0
39,2023,"39_2023",0
40,2023,"40_2023",0
41,2023,"41_2023",0.142857142857143
42,2023,"42_2023",0
43,2023,"43_2023",0
44,2023,"44_2023",0
45,2023,"45_2023",0
46,2023,"46_2023",0
47,2023,"47_2023",0
48,2023,"48_2023",0
49,2023,"49_2023",0
50,2023,"50_2023",0
51,2023,"51_2023",0
52,2023,"52_2023",0
53,2023,"53_2023",0
1,2024,"1_2024",0
2,2024,"2_2024",0
3,2024,"3_2024",0
4,2024,"4_2024",0
5,2024,"5_2024",0
6,2024,"6_2024",0
7,2024,"7_2024",104.142857142857
8,2024,"8_2024",5.71428571428571
9,2024,"9_2024",2.42857142857143
10,2024,"10_2024",5.57142857142857
11,2024,"11_2024",3.42857142857143
12,2024,"12_2024",1.57142857142857
13,2024,"13_2024",1.85714285714286
14,2024,"14_2024",0.857142857142857
15,2024,"15_2024",0
16,2024,"16_2024",1
17,2024,"17_2024",0.285714285714286
18,2024,"18_2024",0.428571428571429
19,2024,"19_2024",0.142857142857143
20,2024,"20_2024",0.142857142857143
21,2024,"21_2024",0.714285714285714
22,2024,"22_2024",0
23,2024,"23_2024",0
24,2024,"24_2024",0
25,2024,"25_2024",0
26,2024,"26_2024",0
27,2024,"27_2024",0
28,2024,"28_2024",0
29,2024,"29_2024",0.285714285714286
30,2024,"30_2024",0
31,2024,"31_2024",0
32,2024,"32_2024",0
33,2024,"33_2024",0
34,2024,"34_2024",0
35,2024,"35_2024",0
36,2024,"36_2024",0
37,2024,"37_2024",0
38,2024,"38_2024",0
39,2024,"39_2024",0
40,2024,"40_2024",0
41,2024,"41_2024",0
42,2024,"42_2024",0
43,2024,"43_2024",0
44,2024,"44_2024",0
45,2024,"45_2024",0
46,2024,"46_2024",0
47,2024,"47_2024",0
48,2024,"48_2024",0
49,2024,"49_2024",0
50,2024,"50_2024",0
51,2024,"51_2024",0
52,2024,"52_2024",0
53,2024,"53_2024",0
