"","date","y"
"267",2016-10-24,0
"268",2016-10-25,0
"269",2016-10-26,0
"270",2016-10-27,0
"271",2016-10-28,0
"272",2016-10-29,0
"273",2016-10-30,0
"274",2017-02-06,0
"275",2017-02-07,0
"276",2017-02-08,0
"277",2017-02-09,0
"278",2017-02-10,0
"279",2017-02-11,0
"280",2017-02-12,1
"281",2017-02-13,0
"282",2017-02-14,0
"283",2017-02-15,0
"284",2017-02-16,0
"285",2017-02-17,0
"286",2017-02-18,1
"287",2017-02-19,0
"288",2017-02-20,1
"289",2017-02-21,1
"290",2017-02-22,3
"291",2017-02-23,4
"292",2017-02-24,17
"293",2017-02-25,10
"294",2017-02-26,12
"295",2017-02-27,7
"296",2017-02-28,32
"297",2017-03-01,37
"298",2017-03-02,78
"299",2017-03-03,37
"300",2017-03-04,47
"301",2017-03-05,53
"302",2017-03-06,0
"303",2017-03-07,1
"304",2017-03-08,69
"305",2017-03-09,14
"306",2017-03-10,12
"307",2017-03-11,33
"308",2017-03-12,44
"309",2017-03-13,14
"310",2017-03-14,18
"311",2017-03-15,25
"312",2017-03-16,65
"313",2017-03-17,29
"314",2017-03-18,4
"315",2017-03-19,1
"316",2017-03-20,1
"317",2017-03-21,2
"318",2017-03-22,3
"319",2017-03-23,7
"320",2017-03-24,31
"321",2017-03-25,7
"322",2017-03-26,2
"323",2017-03-27,0
"324",2017-03-28,0
"325",2017-03-29,0
"326",2017-03-30,0
"327",2017-03-31,0
"328",2017-04-01,0
"329",2017-04-02,0
"330",2017-04-03,0
"331",2017-04-04,0
"332",2017-04-05,0
"333",2017-04-06,3
"334",2017-04-07,3
"335",2017-04-08,1
"336",2017-04-09,0
"337",2017-04-10,1
"338",2017-04-11,0
"339",2017-04-12,0
"340",2017-04-13,0
"341",2017-04-14,0
"342",2017-04-15,0
"343",2017-04-16,0
"344",2017-04-17,0
"345",2017-04-18,0
"346",2017-04-19,0
"347",2017-04-20,0
"348",2017-04-21,1
"349",2017-04-22,0
"350",2017-04-23,0
"351",2017-04-24,0
"352",2017-04-25,1
"353",2017-04-26,0
"354",2017-04-27,0
"355",2017-04-28,0
"356",2017-04-29,0
"357",2017-04-30,0
"358",2017-05-01,0
"359",2017-05-02,0
"360",2017-05-03,0
"361",2017-05-04,0
"362",2017-05-05,0
"363",2017-05-06,0
"364",2017-05-07,0
"365",2017-05-08,0
"366",2017-05-09,0
"367",2017-05-10,0
"368",2017-05-11,0
"369",2017-05-12,0
"370",2017-05-13,0
"371",2017-05-14,0
"372",2017-05-15,0
"373",2017-05-16,0
"374",2017-05-17,0
"375",2017-05-18,0
"376",2017-05-19,0
"377",2017-05-20,0
"378",2017-05-21,0
"379",2017-05-22,0
"380",2017-05-23,0
"381",2017-05-24,0
"382",2017-05-25,0
"383",2017-05-26,0
"384",2017-05-27,0
"385",2017-05-28,0
"386",2017-05-29,0
"387",2017-05-30,0
"388",2017-05-31,0
"389",2017-06-01,0
"390",2017-06-02,0
"391",2017-06-03,0
"392",2017-06-04,0
"393",2017-06-05,0
"394",2017-06-06,0
"395",2017-06-07,0
"396",2017-06-08,0
"397",2017-06-09,1
"398",2017-06-10,0
"399",2017-06-11,0
"400",2017-06-12,0
"401",2017-06-13,0
"402",2017-06-14,0
"403",2017-06-15,0
"404",2017-06-16,0
"405",2017-06-17,0
"406",2017-06-18,0
"407",2017-06-19,0
"408",2017-06-20,0
"409",2017-06-21,0
"410",2017-06-22,0
"411",2017-06-23,0
"412",2017-06-24,0
"413",2017-06-25,0
"414",2017-06-26,0
"415",2017-06-27,0
"416",2017-06-28,0
"417",2017-06-29,0
"418",2017-06-30,0
"419",2017-07-01,0
"420",2017-07-02,0
"421",2017-07-03,0
"422",2017-07-04,0
"423",2017-07-05,0
"424",2017-07-06,0
"425",2017-07-07,0
"426",2017-07-08,0
"427",2017-07-09,0
"428",2017-07-10,0
"429",2017-07-11,0
"430",2017-07-12,0
"431",2017-07-13,0
"432",2017-07-14,0
"433",2017-07-15,0
"434",2017-07-16,0
"435",2017-07-17,0
"436",2017-07-18,0
"437",2017-07-19,0
"438",2017-07-20,0
"439",2017-07-21,0
"440",2017-07-22,0
"441",2017-07-23,0
"442",2017-07-24,0
"443",2017-07-25,0
"444",2017-07-26,0
"445",2017-07-27,0
"446",2017-07-28,0
"447",2017-07-29,0
"448",2017-07-30,0
"449",2017-07-31,0
"450",2017-08-01,0
"451",2017-08-02,0
"452",2017-08-03,0
"453",2017-08-04,0
"454",2017-08-05,0
"455",2017-08-06,0
"456",2017-08-07,0
"457",2017-08-08,0
"458",2017-08-09,0
"459",2017-08-10,0
"460",2017-08-11,0
"461",2017-08-12,0
"462",2017-08-13,0
"463",2017-08-14,0
"464",2017-08-15,0
"465",2017-08-16,0
"466",2017-08-17,0
"467",2017-08-18,0
"468",2017-08-19,0
"469",2017-08-20,0
"470",2017-08-21,0
"471",2017-08-22,0
"472",2017-08-23,0
"473",2017-08-24,0
"474",2017-08-25,0
"475",2017-08-26,0
"476",2017-08-27,0
"477",2017-08-28,0
"478",2017-08-29,0
"479",2017-08-30,0
"480",2017-08-31,0
"481",2017-09-01,0
"482",2017-09-02,0
"483",2017-09-03,0
"484",2017-09-04,0
"485",2017-09-05,0
"486",2017-09-06,0
"487",2017-09-07,0
"488",2017-09-08,0
"489",2017-09-09,0
"490",2017-09-10,0
"491",2017-09-11,0
"492",2017-09-12,0
"493",2017-09-13,0
"494",2017-09-14,0
"495",2017-09-15,0
"496",2017-09-16,0
"497",2017-09-17,0
"498",2017-09-18,0
"499",2017-09-19,0
"500",2017-09-20,0
"501",2017-09-21,0
"502",2017-09-22,0
"503",2017-09-23,0
"504",2017-09-24,0
"505",2017-09-25,0
"506",2017-09-26,0
"507",2017-09-27,0
"508",2017-09-28,0
"509",2017-09-29,0
"510",2017-09-30,0
"511",2017-10-01,0
"512",2017-10-02,0
"513",2017-10-03,0
"514",2017-10-04,0
"515",2017-10-05,0
"516",2017-10-06,0
"517",2017-10-07,0
"518",2017-10-08,0
"519",2017-10-09,0
"520",2017-10-10,0
"521",2017-10-11,0
"522",2017-10-12,0
"523",2017-10-13,0
"524",2017-10-14,0
"525",2017-10-15,0
"526",2017-10-16,0
"527",2017-10-17,0
"528",2017-10-18,0
"529",2017-10-19,0
"530",2017-10-20,0
"531",2017-10-21,0
"532",2017-10-22,0
"533",2017-10-23,0
"534",2017-10-24,0
"535",2017-10-25,0
"536",2017-10-26,0
"537",2017-10-27,0
"538",2017-10-28,0
"539",2017-10-29,0
"540",2017-10-30,0
"541",2017-10-31,0
"542",2017-11-01,0
